,HC,HC,HC,HC,HC,HC,HC,HC,PC,PC,PC,PC,PC,PC,PC,PC,PC,SC,SC,SC,SC,SC,SC,SC,SC,SC
Granzyme H,87.4,57.6,49.7,57,88.3,67.7,70.5,55.7,56.2,67.3,55.4,50.3,49.6,64.2,70.7,45.9,76.2,51.3,59.1,53.7,48.4,69.3,62.6,82.7,70.3,36.3
Contactin-4,95.5,68.5,68.6,79.8,91.8,94.5,79.4,67.3,76.6,75.5,70.9,67.6,66.1,90.2,78.6,66.5,92.2,66.9,92.1,87.7,68.3,79.1,70.9,83.6,70.8,43.2
VEGF121,88.4,98.2,110.8,106.1,61.9,115.2,68.4,81.1,163.1,97.9,121.4,136.3,96.9,233.8,82,91.9,57.2,101.4,118.5,78.3,499.6,713.5,88.8,64.5,76.9,137.6
TFF1,159.4,106.9,117.2,84.4,68.6,113,70.7,111.7,65.1,64.3,64.9,2737,86.9,145.5,68.7,138.2,64.3,109.8,53.8,69.3,618.8,319.6,66.6,54.9,83.2,92.9
NCC27,100.7,99.9,229.2,109.8,171,98.7,94.5,105.1,122.8,154.9,92.1,118.5,103.7,83.5,94.4,85.1,107.2,132.5,140.4,108.3,102.2,103.3,176.8,107.6,103.6,106
4-1BB ligand,68.2,60.1,50.1,58.5,47.3,58.4,57.8,58.3,55.3,52.8,70.3,56.4,59.7,73.9,60.4,62,57.8,54.8,49.8,62,57.5,45.7,56.1,69.7,57.3,51
Kallikrein 4,146.8,63.1,43.3,52.2,74.6,63.9,110.8,85.1,58.3,117.8,80.9,55.7,61.7,281.5,157.5,58.4,413.8,58.7,61.5,49,56.2,66.1,67.6,245.7,61.8,46.3
Ephrin-A2,73.4,74.8,128.3,130,107.3,127.7,123.1,93.1,121.5,185.9,210.5,82,75.2,145,289.6,66.6,110.5,204.2,134,109.4,417.6,517.8,118.3,94.2,72.2,96
PRKACA,129.1,74,64.3,67.4,72.7,75.5,100,129.3,83.9,61.8,89.5,66.9,64.2,81.2,80.4,68.5,94.9,112.2,163.4,65.3,49.4,45.7,59.2,110.1,84.2,48.2
Properdin,121.9,85.9,71.3,193.7,57.6,75.3,101.9,59.9,243,97.2,183,92,75.2,95,127.5,67,64.7,72.1,104.8,58.2,573.6,8228.8,214.1,90.9,167.9,56.3
MMP-7,90.3,68.3,93,62.8,55.9,56.7,55.5,63.9,81.8,52,56.9,66.2,63.5,92.6,50.4,62.3,53,82.3,202.9,58.1,410.2,823.4,65.4,52.3,65.6,58.5
DLRB1,87.8,75.3,84.4,77.5,70.6,75.7,85.7,67.8,75.7,83.4,74.5,77.5,77.5,67.7,101.4,94.4,102.5,75.2,74.3,76.2,71.6,57.8,69.8,91.6,73.9,81
ISLR2,125.4,132.6,232.6,128.1,152.2,126.2,121,128.2,122.8,125.5,126.8,163,155.3,112.9,125.8,156.3,118.8,122,91.8,135,137.2,99.8,131.5,106.4,120.7,247.7
FGFR4,134.9,124.9,162.2,105.9,177.1,135.8,146.5,141.6,120.7,207.2,99.7,108.9,116.8,137.2,140.7,139.2,152.9,117.7,140,140.3,101.8,123.9,134.5,156.1,129.5,147.3
"C5b, 6 Complex",49.5,41.9,34.6,55.5,34.5,44.4,44.6,42.4,36.1,45.4,55.2,46.2,47.1,38.9,46.4,37.3,47.4,43.9,32.6,34.9,103,38,38.2,43.6,41.8,39.1
Galectin-8,73,97.8,78.2,83.9,47.8,67.1,65,92.4,63.4,54.9,79.7,89.3,84.2,68.1,62.6,92,54.5,85.7,51.1,72.3,80.8,287,101.2,61.2,173.3,85.1
PDE1A,91.3,79.2,175.8,73.8,212.2,92.3,217.2,363.3,81.4,219.6,76.6,73.9,78.8,439.1,150.5,79.4,155.9,93.8,117.8,55.2,74.1,170.4,105.6,190.8,112.3,63.2
IL-1 sR9,179.1,185.8,167.6,151.7,193.7,174,164.2,164.4,248.9,157.9,205.7,165.3,187.5,162.1,177,179.1,165.1,248.6,144.9,169.1,140.5,185.3,194.6,193.8,170.8,259
DSCAM,84.4,103.6,216.7,93.2,121,88.8,92.4,101.1,117.7,104.1,95.3,122.6,110,87.3,86.5,105.7,99.9,129.3,95.1,100.3,103.7,82.2,159.6,131.8,95.2,157
IL-1F8,89.5,100.4,135.6,99.4,110.6,90.2,86.3,99.2,96.6,91.4,109.6,105,115.2,112.9,85,107.5,96.1,96.6,72.7,100.9,112.9,111.2,103.1,101.1,95.5,138.3
hnRNP A/B,130.1,77.6,76.3,70.2,135.2,104.5,99.4,75.5,72,105.5,82.8,75.9,78.4,92.5,88.9,70.2,115.7,76.8,94.5,86.8,59.7,71.9,81.9,109.2,86.9,49.7
DYRK3,130.1,141.6,737.8,138.6,232.4,166.1,129.9,130.8,197,181.5,147.8,149.2,151.2,123.7,129.1,144.3,119.6,144.4,225.5,153.2,146.4,161.9,301.7,137.5,136.1,233
MYPC1,90.3,108.8,192.8,94.3,112.7,98.7,88.9,99.8,112.4,100.6,88.6,114,113.1,92.2,84.6,96.8,94,91.4,86.2,97.7,99.7,73.8,120,81.8,98.5,169.5
Arylsulfatase A,287.4,501.3,371.7,531.4,179.5,607.4,133.1,453.3,847.3,279.4,606.3,519.4,251.2,848,260.2,313.7,184.4,452.2,1254.9,147.3,532.5,694.2,548.5,221.6,506,333.8
HGH,53.5,53.7,62.1,50.8,54.9,48.7,58.8,57.7,50.4,45.1,53.9,57.9,62.3,57.2,51.6,58.7,46.3,50.1,42.2,51.5,59.1,45.1,54.3,65,54,37.2
ACE2,56,46.9,56.3,50.3,64.6,58.8,51.4,47.4,47.8,69,49.6,49.3,46.7,48.6,59.1,48,60.8,49.5,55.3,63.7,50.8,142.4,45.3,48.5,46.6,36.6
bFGF-R,68.7,70.7,101.8,80.9,62,72.2,62.8,60.5,73.4,81.4,65.5,71.8,68.5,66.9,82.5,75.9,59.8,67.3,64.7,79.2,61,86.5,67,45.6,66.6,53.2
RBM39,353.6,123.3,47.8,82.9,173.3,165.8,235.5,117.9,97.2,154.8,113.7,56,83.7,295.3,169.2,69.2,378.1,68.3,105.2,86.1,49.4,109.8,195.7,473.1,123.8,40.4
Cyclin B1,90.7,98.2,334.4,95.8,201.9,105.8,92.2,93.5,104.6,136,90.8,105.8,101.5,76.4,96.3,107.9,83.3,91.8,89.2,106.7,97.9,88.9,121.9,85.5,93.8,134.5
P-Cadherin,1474.5,1727.2,1449.7,2116.8,1190.5,2188.5,1208.2,1380.3,2150.6,982.8,1190.5,1984.6,2039,1386.2,989.6,2496.6,1250.6,992.5,873,1499.6,2814.4,1113.2,1063.6,891.2,1640.2,4524.8
RGM-C,169.1,78.9,67,81.1,136.3,96.6,157.3,120.6,66.2,169.4,81,68.9,74,117,169.5,73.1,406.7,71.9,91.8,52.2,65.3,108.7,93.7,383.1,104.4,87.9
FUT5,548,46.6,99.1,2692.9,288.3,1833,1483.6,162,3832,78,1503.2,71.1,50.8,4991.7,152.9,77.9,606.2,65.3,224.6,63.7,9549.5,621.4,38.5,222.4,341.4,53.5
C1QBP,985,2591.7,1461,761.9,454.5,735.6,469,795.1,941.4,481.4,649.4,1049,1658.4,856.3,528.5,2916.4,630.6,769.4,1600.6,727.4,478.7,1204.2,828.1,968.2,2760.7,1716.4
Prothrombin,265.6,281.6,1275.4,461,481.1,314.6,246.6,274.8,456.9,452.5,353.9,284.3,272.1,333.1,292.3,289.1,236.8,311.6,476.1,310.1,322.6,17144.3,524.9,292.2,258.8,553
PSMA,484.3,2317.1,801.9,463.6,129.2,657.4,76.4,591.4,1240.1,104.4,7991.7,1443.2,99.9,1963.5,119.5,196.9,67.1,3284.6,463,228.4,97.2,3234.2,60.7,123.5,391.8,250.6
HHLA2,691,493.4,440,411.3,302.2,833,302.5,694,584.2,343.4,504.3,481.6,355.1,802.4,390.1,498.9,356.8,513.4,544.9,532.3,390.4,6381.1,555.7,418.1,849.8,663.5
SHBG,73.6,85.8,138.8,86.9,96.8,78.3,75.5,80.2,86.5,70,126.3,104.4,100.9,94.9,70.1,96.5,70.3,81.6,154.9,83,112.2,6684.5,87.6,68.2,77.3,115.1
Thrombopoietin Receptor,39.7,41.1,37.2,42.8,31.8,37.9,38.2,53.2,39.5,32.7,42.5,38.7,44.1,47.1,38.5,37.1,38.8,39.4,30.1,48,38.8,29.8,36,33.9,62.3,33.2
LPPL,87.3,93.3,339.1,96.8,132.1,153.8,97.9,92.6,86.5,120.2,118.5,118.8,107.7,84.3,123,99.4,118.4,105.4,89.3,126.4,90.3,66,95.1,84.6,101.4,135.8
PGCB,50.8,39.8,33.4,38.9,56.5,44.5,58.3,50.1,45.2,63.6,39.2,34.3,38.3,48.1,57.5,38,68.7,41.6,41.9,41.4,37.8,37.9,43.6,61.9,45.8,31
IL-4,108.1,108.1,101,98.1,117.8,97.5,109.6,104,88.2,112.4,105.2,101.4,119.1,103.5,123.5,115.7,140.4,93.9,92.2,92.1,104,88.6,107,132.6,102.3,168.6
ADAMTS-4,40,44.5,37.7,43.2,30.5,40.4,52.6,44.6,37,34.1,41.7,45.2,50.9,42.8,39.9,50.3,44.1,41.5,31.5,45.6,41.4,29.8,39.6,37.7,45.6,29.1
IL-16,127.7,109.6,89.9,95.1,88.9,108.6,95.2,96.4,162.8,100.3,121.7,100.2,110.6,134.2,96.2,112.3,106.3,96.4,114,105.7,95.6,98.4,101.4,103.7,92,132.9
Histone H1.2,33.5,27.3,23.9,27.8,24.2,27.6,38.3,27.7,29.2,29.2,32.3,28.9,30.9,33.9,36.2,26.1,44.7,26.6,21.1,30.6,40.8,28.9,27.6,88.1,29,31.3
C1QR1,100.9,119.2,205.6,113.9,141.7,108,120.7,112.4,195.8,131.3,209.8,136.3,129.4,170,109.5,127.9,135.1,129.5,119.2,179,115.7,109.3,182.4,160.7,107.7,196.4
IL-23,98.3,96.5,165.7,113.3,98.6,93.4,82.7,97.2,85.4,88.4,84,107.5,103.7,83.7,72.5,101.4,86.5,109.9,66.3,90.4,95.3,68.6,102,97.2,85.3,141.4
Granulysin,37.9,41.1,34.8,43.8,26.5,38.5,35.5,38.9,39.3,41.9,39,49.6,41.2,39.3,38,36.8,32.6,37,37.8,38.6,76.7,104.4,35.5,35.3,40.8,59.1
RANK,123.3,100.3,438.2,95.3,161,133.2,120.7,99.4,112.7,121.2,100.1,99.6,103.1,142.5,99.6,98.9,114.4,106.7,169.5,116.6,90.9,86.5,117.2,100.3,99.6,141.1
MIP-1a,82.3,88.5,85.2,80.5,97.5,78.8,99.7,117.9,72.2,99.5,82.4,82.4,97.6,274.2,91.2,96.5,120.4,96.2,73.6,88.9,88.5,78,100.2,118.4,141.8,122
B7,130.2,74.5,74.2,79,105.4,120,91.1,71,80.4,97.8,79.7,73.2,75.2,73,100.6,69.8,113.9,149.1,87.7,85.5,58.6,60,74.5,80.7,82.4,55.7
H6ST1,48.1,59.6,93.1,56.1,45.7,51.1,50,55.9,52.4,46.8,53.9,60.8,62.3,47.3,43.9,61.3,42.5,59.6,36.9,58.6,56.4,36.6,50.6,41.3,55.4,47.5
BMP-1,139.9,68.6,54.4,79,96.1,103.7,133.6,80.5,63.6,101.9,78.9,54.8,69.1,97,121.3,60.3,150.1,58.5,87.8,81.6,54.5,69,70.4,132.1,104.3,54.4
TBK1,44.4,45.7,43.2,45.7,47.5,42.3,47.4,41.8,42.6,49.2,42.5,44.6,47.7,41.1,47.7,41,50.1,41.4,42,48.9,46.9,37.1,44.2,44,44.4,43.2
IL-7,47.5,41.2,34,38.7,37.8,39.2,50.8,40.1,35.5,40.2,41.8,40,45.4,60,54,39.3,132.7,37.8,33.5,40.1,40.4,30.9,38.6,116.9,42.9,33.8
TIG2,95.3,67,105.2,80.9,78.3,67,72.8,82.4,70.4,64.5,69.5,81.8,74.3,72.7,63.7,84,60.9,81.7,161.2,84.4,121.5,138.2,79,75.1,76.9,61
HCE004331,141.8,141.8,143.3,142.2,144.1,143.1,145.5,144.3,143.7,140.9,139.4,143.6,142.2,143.7,142.9,141.5,141.4,149.6,144.6,142,146.7,143.7,144.8,146.9,141.2,115.7
PKC-G,48.5,52.5,47.5,48.5,48.1,43.3,42.2,48.6,42.6,43.8,44,49.6,52.9,56.7,43.3,48,43.7,41.3,52.6,35.7,57.7,45.9,46.3,40.7,49.2,32.2
sTie-1,49.1,52.8,36.3,41.3,32,40.5,57.3,49.1,42.6,44.7,51.4,42.6,45.8,55.5,43.3,29.6,46.6,41.8,38.7,45,54.2,66.4,41.7,46.7,66.1,48.5
IR,1405,3127.9,1255.6,913.6,378.9,998.7,1246.2,1165,196.2,414.1,157.9,530.5,762.6,59,188.7,383.7,423.9,234,103.3,1255.8,69.8,106.2,1466.7,162.7,2034.5,2304.1
CNDP1,133.7,73.5,87.2,67.6,101,59.5,65.6,68.9,62.8,96.8,54.9,78.2,57.6,49.5,61,61.3,59.4,71.3,87.9,58,65.1,72.5,76.5,63.8,64.4,83.8
MRCKB,103.1,91.6,999.4,113.4,232.9,128.9,105.7,130.3,112.6,136.1,90.2,95.6,112.4,79.9,94.7,93.6,103.1,91.1,143.4,114.2,83.1,92.5,118.9,90.7,149.4,130.4
Flt-3,70.7,59.2,63.2,59.7,78.9,62.4,64.4,62.1,56.9,74.1,53.6,62.1,62.8,51.3,57.6,52.3,66.2,74.6,69,65.2,52.9,50,65.3,56.5,61.8,54.1
"Troponin I, skeletal, fast twitch",280.7,302.4,364.6,413.7,261.9,254.9,230.2,420.3,659.7,606.2,463.6,302.1,261.7,412.2,329.3,403.6,336,346.7,245.6,372,283.1,1332.7,257.9,323.5,390.8,562.1
PIGR,302739,476909.9,328189.1,376067.5,15656,260589.1,80171,403450.5,7401.3,32425.9,8668,438133.9,221931.6,12067.3,57098.5,553035.3,31016.1,115665.1,5596.9,211609.6,539158.7,64912.3,3855.8,2304.1,389097.5,624372
IL-12 RB2,185.8,159,123,118,220.6,124,127,120.9,227.3,276.5,221.3,109.5,105.6,1875.8,488.5,126.5,301.8,143.1,202.5,108.6,112.4,239.2,168.6,417.4,125,192.1
PLXB2,108,80.3,83.4,369.6,60.5,102.7,100,83.5,220.9,167,355.8,74.3,83.6,126.2,988.5,85.8,158.5,326.1,577.1,69.2,363.9,1291.6,67.9,385.7,67.2,85.1
tau,41.7,48.2,55.2,46.1,49.6,48,44.1,47.6,43,40.7,43.3,50.3,58.1,37.3,39.6,47.6,39,55.4,36,41.1,48.3,34.8,52.5,36.1,46.7,46.3
C5,173.9,129.4,107.1,255.1,137.6,164.4,163.4,122.5,347.2,158.5,221.3,168,136.8,238.3,162.9,170.5,164.5,191.9,227.9,126.4,364.4,221.6,125.9,123.9,132.9,177.7
CD36 ANTIGEN,6236.8,28043.5,3387.7,8413.8,2856.9,2972.3,330.7,22061.4,2013.3,615,1192.2,10352.4,76.8,5916.5,350.1,14945,2104.5,525.4,14773.9,3399,475.8,21232.9,594.4,3358,2848.3,3911
Vitronectin,1276.3,1177.7,1132.9,4770.8,752.6,1238.4,977.6,1375.3,1367.2,1105.6,711.6,1121.6,1165.9,898.9,710.7,1374.9,795.4,662.1,703.2,1156.9,1781.7,1448.3,913.4,459.3,1121.8,2657.6
FCN2,301.4,152,119.4,148.3,195.1,217,215.4,144,154.9,152.6,137.2,119.5,148.9,150.7,135,143.1,198.7,109.3,153.8,136.9,113,128.2,200,233.7,154.7,207.7
Hat1,63.4,56,46.5,55.9,60.1,52.6,68.4,53.7,50.7,62.2,60,54.9,60.7,64.5,70.1,59,85.2,61.8,51,57.7,51.5,45.4,51.1,85.9,57.3,45.7
MIC-1,96.5,99.4,71.1,111.4,59.1,68.4,73.8,165.3,175.8,111.9,282.3,90,59.4,1210.1,87.1,68.8,142.4,106.2,485.7,63.9,140.3,1918.7,68.9,158.2,109.3,46.3
SLPI,2600.8,5503.6,1160.2,4710.4,262.4,1693.1,343.4,1761.5,3595.3,3354.1,4277.9,18772.9,1127.4,2836.1,2757.8,4663.2,528.1,1566,3678.5,387.1,17961,13439.3,2874.4,2030,821.8,1859
HCE000342,86253.6,88459.9,85792.3,85218.9,86325.5,85178.6,84461.6,87733,85118.4,85175.2,87079.1,85033.1,85989.8,86190.3,88260.2,83506.6,83938.6,86486.5,86318.4,87560.2,87525.3,85990.1,86091,86556.7,84069.1,90321.7
BMPR1A,45.7,54.7,74.3,49,44.2,42,44.9,48.9,42.7,36.9,47.6,55.1,56.4,41.1,40.9,53.8,40.9,48,32.2,48.2,47.8,31.6,50.7,32.8,49.3,45
GOT1,692.3,908.9,504.4,588.4,683.3,1110.4,530.2,422,1809.8,434.7,1006.4,596.2,787.9,1924.8,746.8,501.6,804.7,1073.9,1092.8,882.3,259.3,1948.8,599.3,1109.3,872,334.4
ANP,109,97.7,182,96.9,202.1,109.8,120.9,107.1,97.2,216.2,106.2,95.7,87,106.6,172.5,90.8,130.8,98.3,116.4,108.5,91.3,106.5,119.3,151,109.6,88.8
SH21A,193.4,171.9,436.9,157.6,758.8,240.7,294.8,268.7,200.8,952.6,167.7,167.5,170,141.1,399.1,233.9,221,183.5,223.7,380.7,179.2,127.3,224.1,237.5,190.9,317.8
IL-18 Rb,56.1,54.4,46.9,54.1,48.9,50.1,53.5,51.8,47.4,46.9,55.3,54.1,59.7,47.2,54.8,56.7,55.7,54.9,44.2,57.1,50.3,40.6,46.2,47.6,57.6,44.7
TARC,76.5,48.8,42.7,46.8,45.6,50.9,45.8,46.4,45,42.5,43.1,50.4,50.3,39.9,42.4,48.9,51.3,43.6,44.5,49.7,51.6,44,48.6,44.6,48.2,31.9
HSP 70,107.2,76.5,64.6,77.9,73.9,110.3,114.1,183,108,91.2,96.2,131.5,75.3,112,168.7,102.5,113.1,175.6,134.8,96.5,61.9,223.2,86.6,130.4,305,31.9
FCRL3,69.9,54.7,48.9,51.8,63.3,57.8,55.7,55.4,55.1,55.5,56.4,51.7,53.2,54,54.6,41.4,74,46.6,51.1,62.3,50.6,41.3,61.1,69.5,58.7,31.3
TLR4:MD-2 complex,116,153.6,237,132.2,213.2,123.2,118.6,134.1,150.9,112.2,123.7,151,243.2,113.1,108.9,165.5,104.7,134,98.7,127.9,143.6,105.9,146,102.8,126.6,236.2
CTAP-III,47.7,47.9,34.5,42.6,43.4,55.1,465.8,58.6,42.6,47.2,44.1,39.3,42.9,77.5,45.9,43.4,54.7,38.6,38.7,37.3,64.2,116.5,42.9,46.7,49.5,30.3
KIRR3,52.3,64.2,48.2,55.2,47.9,57.3,61,51.8,47.4,43.8,53.1,50.5,51.5,59.8,53.9,59.8,54.3,53.4,40.5,56.7,50.3,41.5,50.7,58.3,69.8,31
TWEAK,79.9,122.3,135.4,96.1,95.1,115,72.8,85.9,100.8,83.3,96.2,108.8,105.4,94.1,70.6,94.8,71.5,81.8,108,84.5,112.9,65.1,101.9,65.2,80,122
TIMP-2,474.6,439.6,389.3,619.3,228.8,396,405.7,525.5,397.8,306.4,348.5,423.2,428.9,422.1,322.9,482.2,433.3,362.7,526.5,485.3,1177.8,6360.3,346.1,319.1,470.6,927.5
PDGF-CC,60,73.9,93.2,63.3,71.2,78.9,60.5,66.7,66.8,52.8,63.7,81.4,89.1,55.8,55.1,80.1,56.6,68.4,49.5,64.1,72.5,47.2,74.6,53.2,62.8,92.9
PolyUbiquitin K48,3823.5,1767.4,1340.4,7472.6,599.1,1248.5,1275.1,2188.2,2625.5,1655.1,8497.3,1583.5,639.7,10922.9,1510.7,1425.1,1887.9,2657.4,11175,498.4,2774.5,19428.1,493.9,3557.8,2491.1,1947.9
LDLR,58.3,63.1,67.4,57.2,53.7,56.1,55.4,63.8,52.2,48.2,56.4,68.4,76.2,54.9,50.8,70.2,49.5,56.8,37.9,53.4,67.9,39.7,57.4,43.3,58.1,78.8
Cathepsin S,237.3,104.1,65.7,424.3,73.7,110.9,230.5,337.5,1019.3,98.6,988.3,86.6,50.6,733,223.1,154.1,382.7,1287.1,2068.7,77.7,130.2,1889.9,53.1,461.7,232.5,82
FABP,55.4,52.5,73.3,54.7,64.7,51.6,48.3,49.3,49.2,48.1,49.8,57,58.6,54.4,51.2,56.6,50,53.8,40.3,52.1,61.1,196.9,52.9,47.4,50,41.3
HCK,48.6,49.6,40.7,43,34.9,40.9,50.8,45.7,44.1,39.8,45.2,47.3,53.8,42.6,46.3,50.5,49.2,44.7,32.5,46.7,47.4,31.6,42.8,42.9,44,41.3
ARP19,61.1,70.7,121.5,101.2,91.1,107,82.7,65.6,93.5,60.5,69.8,70.2,77.5,98.6,67.8,109.8,79.6,119.3,170.4,86.1,67,61.7,67.3,52.8,68.1,65.4
FGF-8A,65.3,51.1,39,51.3,51.2,48,68,52.1,46.3,48.9,55.5,49,57.4,61.7,62.7,54.4,70.9,56.6,50.7,49.2,46.3,45,47.1,76.1,54.1,32.2
CTGF,1151.2,1692.5,1345.8,1608.2,555.1,1198.9,1000,1494.8,1435.8,521.9,822.5,1539,2043.2,990.9,511.8,2141.9,530.2,453,512.7,1298.6,1948.6,862,1048.7,204,1296.9,4614.9
BSP,71.4,68.3,75.8,74.1,73.9,73.6,62.1,64.9,78.9,73.1,69.6,69.9,69.4,70.2,66.3,76.6,82.6,75.2,75.4,77.1,61.3,54.4,67,61.1,69.6,48.2
Semaphorin-6A,50.5,58.1,109.6,104.7,81.9,91.6,75.2,53.7,89.6,60.5,62.8,77.8,55.2,101.7,61.2,144.7,111.3,112,198.9,94,97.1,130.1,57.5,59,65.7,51.3
CHKB,2097.2,2200.8,2003,2411.5,1151.6,1978,1754.1,2672.3,2109.8,1110,1679.4,2392.5,2671.2,1693.4,1165.7,2982.2,1451.9,1408.2,1193.8,1998.7,2847.5,1404.4,1676.8,699,2003.5,6005
DKK3,3799.2,4446.6,3392.2,3537.9,2003.5,3020.2,3511.8,3799.9,2573.6,2372.2,2902.6,4842.6,5246.6,2753.8,2784.3,5685.4,2811,2994.6,1461.5,2023.3,5327.3,2534.6,3208.3,2812.6,3797,10896.7
a2-Antiplasmin,53.2,52,61.2,59.6,43.1,45.7,50,54.2,43.6,44.8,49.1,56.3,58.7,76.2,48.1,51.9,45.5,47.8,34.1,47.3,72.6,240.1,50.8,47,48.5,41.9
I-TAC,37.7,45.5,48,44,25.7,40.2,36,42.1,37,27.6,34.9,45,47.1,38.4,32.1,66.6,32.9,44.2,33.7,41.7,46.7,28.8,36.6,28.9,37.3,37.8
Glucagon,67.1,74.1,100.6,68.9,84.6,75.5,67.3,72.1,70.7,69.6,68.9,79.4,84.9,62.7,66.1,84.3,69.6,71.6,54.8,74.9,81.1,58.4,79.9,67.2,66.6,83.5
cGMP-stimulated PDE,206.3,187.9,3042.3,175.2,392.6,240.1,182.7,156.4,298.6,257.8,194.1,196.3,189.1,153.8,170.9,179.9,190.6,227.3,380.5,191.7,193.1,247,491.2,216.2,175.3,337.5
kallikrein 14,388.7,427.2,5129.5,397,1040.8,552.6,467.8,435.6,752.8,1056.5,475.8,399.9,328.5,391.5,504.8,378.3,520.9,514.9,1180.7,559.1,368,688,1049.4,521.4,430.7,862.7
GAS1,100.8,125.1,189.9,112.6,137.9,110,96.4,107.4,120.3,119.1,115.6,121.6,120.5,96.1,98.5,118.5,90.1,112.3,100.9,128,125.5,172.8,130.5,87.4,126.5,193.6
FAM3D,708.3,1794.7,825.3,9205.6,213.9,572.4,577.2,3122.4,408,4154.3,4423.3,14187.6,92,561.4,6340.1,1768.8,847.2,23769.7,5013.4,1314.5,1514.1,5111.6,193.7,1822.4,4721.8,79.8
Apo E2,452.4,203.2,850.1,174.6,420.2,348.9,638.9,230.7,540.3,417.6,449.2,190.9,197.1,699.6,324.9,202,336.8,192.3,658.3,217,494.5,1000.3,1010,726.4,278.1,309.7
ICOS,66.6,62.9,79.8,65.2,123.8,74.3,73.7,61.7,66.7,92.4,67.3,57.3,68.4,77.4,76.8,65.9,88.7,69.6,80.5,79.9,55.7,53.6,70.7,63.6,65.6,37.2
SDF-1,119.6,92.8,76.9,87.3,71.9,81.9,87.2,84.5,75.9,71.9,80.3,87,93.4,70.2,89.3,94.4,85.5,76.3,66.8,82.7,92.7,59.9,80.3,76,90.4,129.5
TNF sR-II,138.9,139.3,974.8,184.1,337.6,154.5,145.3,139.4,172.9,238.1,135,153,167.3,132.4,158.6,143.5,145.8,143.3,205.8,149.9,252.6,397.7,232.6,142,145.6,191.8
Cadherin-5,162.5,104.8,164.1,417.3,137,317.3,141.8,158.4,1133.6,290.7,212.2,100.5,104.7,187.2,325.8,129.6,250.8,429.3,143.8,212.9,273.2,143.3,114.7,161.4,200.7,431
HCE003167,22504.2,22224.8,21966.2,22586.3,23097.3,23271.5,22927.5,22341.1,22305.1,22609.9,22370.8,22158.5,22653.4,22850.8,22943.7,21903.4,22605.7,22039.4,22214,22449,22447.5,22856.1,22530.4,22255.1,22490,22633.5
CD48,135.6,96.1,74.9,78.6,158.1,123,134.5,98.9,91.6,153.9,91.3,80.1,91.5,99.8,117.8,92.5,154.6,75.1,102.8,72.8,81.2,92.9,102.2,166.7,107.3,94.2
HTRA2,56.8,46.7,32.6,53.7,65.4,51.8,74.2,76.8,56.5,75.4,70.6,48.3,44.4,47.7,114.5,46.2,199.7,94,114.4,27.9,57.1,410.6,45.3,191,69.8,32.8
C1r,41.8,32.7,31,156.8,22,30.6,38.8,35.1,33.1,26.1,44.8,36.7,37.6,31.9,35.3,31.6,39.1,41.6,68.4,30.4,38.1,148.9,29.7,54.2,33.9,43.8
SREC-I,65.7,75.1,136.7,69.5,101,66.6,66.1,69.6,78.6,78.3,80.8,86.5,86.9,60.4,67.1,77,60.6,76.2,60.9,73.2,141.1,140.3,131.8,62,72.4,77.9
Ephrin-B3,562,187.1,133.8,199.2,390.8,271.9,378.6,322.8,210,446.3,221.2,104.6,136.9,1831.2,320.7,128.5,552.2,138.8,310.9,208.1,94.3,261.4,257.9,607.5,314.5,151.1
GSK-3 alpha/beta,78.5,89.2,77.8,78.1,110.1,79,79.2,76.6,83.9,93.8,71,78.7,79.4,68.2,78.8,88.6,87.2,72.1,86.7,73.2,74.5,77.9,87.2,72.8,91.1,86
SLAF5,176.3,140.5,487.8,145.9,272.6,157,211,230,170.4,264.3,177,126.4,137.9,379.1,235.7,140.8,263.8,145.5,196.1,143.5,126.2,172.4,188.8,279.3,146.6,223.7
MCP-3,327.3,365.5,299,329.3,200.4,287.5,352.9,336.4,297.5,236.6,293.8,383.6,417.7,296.3,252.5,474.3,242.7,291.4,178.5,256.8,432.6,217.7,318.4,217.1,314.9,908.7
LY9,42.7,42,35.4,44.8,35.1,39.3,58.8,107.1,34.8,41.1,42.6,38,42.2,67.5,51.2,49.2,97.9,37.3,36.2,40.7,37.5,40,34.4,144.7,60.8,29.7
CSK,40.3,35.8,30.3,35.3,35.9,32.2,43,36.1,35.5,30.2,35.8,35.3,41.1,37,35.1,34.2,46.8,58.7,65.2,32.9,37.8,33.3,31.5,38.7,36.9,37.2
CD109,90.2,52.2,49.9,60.2,79.9,65.5,63,52.1,54.2,65.1,60.5,54.8,54.1,64.5,64.5,40.5,70.4,45.9,67.7,63.6,50.6,78,49.1,72.7,60.1,30.3
Leptin,327.6,286.9,281.6,384,202.2,404.4,283.5,295.1,336.5,234.1,392,268.1,263.5,461.2,287.5,346.6,291.8,278.6,257.7,322.1,255.1,619,259.8,277.3,276.8,533
NACA,147.8,114,155,113.3,333.2,186.6,452.2,315.3,155,438.2,137.3,113.6,130.9,1925.9,282,132.8,335.2,260.6,306.7,202.2,132.7,406.5,227.5,342.8,199.3,176.4
MATK,130.9,101.4,132.4,101.2,141.2,109.6,166.1,131.1,98.7,180.5,101.7,95.5,101.4,148.8,189.2,110.3,256.5,131,93.7,110.7,97.2,85,103.1,309.2,115.8,143.9
